Puesto,Ciudad,Índice de Calidad de Vida,Índice de Poder Adquisitivo,Índice de Seguridad,Índice de Sanidad,Índice de Costo de Vida,Relación Precio/Ingresos para Propiedades,Índice de Tiempo de Desplazamiento en Tráfico,Índice de Contaminación,Índice de Clima,Año
,"Dnipró, Ucrania",9431,3484,4494,4871,2872,1114,3225,8193,6952,2019
,"Bangkok, Tailandia",9380,4115,5425,7852,5525,2294,4592,7385,5839,2019
,"Bogotá, Colombia",9348,3049,3910,6538,3248,2397,4776,6855,9712,2019
,"Calcuta, India",9342,5502,4931,5851,2472,1103,6106,7937,6090,2019
,"Ciudad de México, México",9282,4976,3183,6425,3530,1560,5068,8253,9237,2019
,"Novosibirsk, Rusia",9000,4605,5505,5915,3210,1084,4557,7223,1614,2019
,"Colombo, Sri Lanka",8918,2624,6073,7123,3231,2961,5820,5692,5911,2019
,"Almaty, Kazajistán",8769,4018,2718,5110,3019,1242,3057,7669,5830,2019
,"Delhi, India",8316,6115,4036,6678,2800,1580,5597,9188,5890,2019
,"Karachi, Pakistán",8206,3320,4157,5870,2158,1685,3912,9104,7132,2019
,"Lima, Perú",8187,3725,3146,5555,3982,1664,5184,8551,9769,2019
,"Sao Paulo, Brasil",7876,3940,2815,5509,4673,2062,5142,8267,9904,2019
,"Katmandú, Nepal",7869,2532,6489,5551,3119,2922,4179,9560,9264,2019
,"El Cairo, Egipto",7645,2472,4760,4291,2787,1275,5172,9373,8845,2019
,"Teherán, Irán",7530,3447,4599,5152,3963,1922,5351,8372,7099,2019
,"Bombay, India",7473,5440,5724,6785,2903,3927,5725,8372,7148,2019
,"Shanghái, China",7333,6351,4837,6120,5029,4510,4975,8043,8364,2019
,"Ciudad Ho Chi Minh, Vietnam",7264,2987,4378,5548,3839,2292,3129,9321,6344,2019
,"Nairobi, Kenia",7226,2767,4253,5752,4205,3232,5673,7717,9979,2019
,"Yakarta, Indonesia",7132,2750,4662,5895,4152,2124,5591,8171,6376,2019
,"Río de Janeiro, Brasil",7038,3561,2202,4272,4649,2358,5255,7029,8822,2019
,"Manila, Filipinas",6742,3884,4057,6047,3892,1972,5644,9175,6123,2019
,"Pekín, China",6511,7073,4721,6329,4371,4530,4500,8871,5764,2019
,"Daca, Bangladés",6046,3845,3291,3792,3391,1323,6325,9308,7129,2019
,"Lagos, Nigeria",5131,1444,3578,5302,3484,1723,7388,8424,6075,2019
,"Caracas, Venezuela",0,386,1690,4110,2501,14321,4032,7351,9993,2019
,"Canberra, Australia",21379,11759,8068,8195,7516,508,2370,1423,8272,2020
,"Raleigh, Carolina del Norte, Estados Unidos",21054,14530,6811,7566,6980,273,3241,2090,8388,2020
,"Adelaida, Australia",21018,11612,7131,8019,6840,405,2358,1946,9496,2020
,"Wellington, Nueva Zelanda",20506,10671,7139,7484,7047,606,2768,1330,9768,2020
,"Columbus, Ohio, Estados Unidos",20044,14217,5821,7346,7050,189,2598,2513,7129,2020
,"Madison, Wisconsin, Estados Unidos",20018,12431,7027,7883,6467,335,2373,1761,5164,2020
,"Zúrich, Suiza",19915,12690,8317,7352,12829,823,3436,1729,8148,2020
,"Brisbane, Australia",19888,11903,6622,8210,7280,549,4064,2143,9807,2020
,"Charlotte, Carolina del Norte, Estados Unidos",19791,14429,5689,7447,7240,246,3638,2724,8405,2020
,"Austin, Texas, Estados Unidos",19486,14576,6446,7040,6779,358,3437,3547,8208,2020
,"Eindhoven, Países Bajos",19478,10223,7491,7213,7379,579,2576,2224,8538,2020
,"San Diego, California, Estados Unidos",19183,13019,6372,7069,7422,522,3363,3494,9708,2020
,"Ottawa, Canadá",18958,11969,7548,7492,6864,464,3220,1983,4446,2020
,"La Haya (Den Haag), Países Bajos",18939,9331,7486,7586,7237,632,3297,2380,9061,2020
,"Victoria, Canadá",18924,8941,6805,6993,7167,765,2925,1488,9252,2020
,"Copenhague, Dinamarca",18768,9070,7648,7833,8623,929,2865,2078,8374,2020
,"Kansas City, Missouri, Estados Unidos",18736,13463,4084,7894,6917,186,2618,3248,7508,2020
,"Dallas, Texas, Estados Unidos",18628,15530,5064,6572,6803,224,3422,4287,8185,2020
,"Seattle, Washington, Estados Unidos",18600,13343,5350,7379,8577,562,4217,2841,9173,2020
,"Tampa, Florida, Estados Unidos",18479,12619,5046,6791,6710,281,3584,2830,8467,2020
,"Viena, Austria",18449,8316,7699,7878,6564,1390,2655,1844,8177,2020
,"Luxemburgo, Luxemburgo",18436,10631,7088,7373,8371,1134,3366,2115,8262,2020
,"Reikiavik, Islandia",18414,8107,7796,6700,10085,658,2034,1526,6881,2020
,"Edimburgo, Reino Unido",18411,8995,6947,8068,6994,886,2717,2616,8401,2020
,"Helsinki, Finlandia",18406,9313,7780,7711,7236,1208,3223,1265,6279,2020
,"Perth, Australia",18380,10151,5704,7757,7392,689,3692,2327,9571,2020
,"Calgary, Canadá",18189,12435,6776,7717,7066,472,3059,2481,3309,2020
,"Jacksonville, Florida, Estados Unidos",18176,12090,4325,7438,7457,203,3394,3118,8781,2020
,"Portland, Oregon, Estados Unidos",18159,11282,5211,7288,7863,433,3338,2957,8956,2020
,"San José, California, Estados Unidos",18070,14348,5753,7049,7864,659,3814,4794,9553,2020
,"Cincinnati, Ohio, Estados Unidos",18059,13181,5076,6863,6164,222,2489,4282,7324,2020
,"Düsseldorf, Alemania",17950,9957,6910,7469,6698,1098,2983,3143,8637,2020
,"Múnich, Alemania",17899,9597,8261,7809,7219,1690,3354,2455,7598,2020
,"Ginebra, Suiza",17895,11116,7147,6789,11898,1050,2597,3083,8261,2020
,"Belfast, Reino Unido",17832,9287,5940,7122,6185,463,3791,2629,9084,2020
,"San Antonio, Texas, Estados Unidos",17789,11640,5341,7240,6578,231,3155,3981,8058,2020
,"Mineápolis, Estados Unidos",17745,12718,5096,7901,7670,295,3672,2701,4946,2020
,"Melbourne, Australia",17730,10473,5608,7511,7240,972,4016,2560,9430,2020
,"Valencia, España",17693,7662,7486,8260,5195,748,2724,4375,9384,2020
,"Pittsburgh, Pensilvania, Estados Unidos",17692,12308,6353,7238,7361,199,3831,4285,7213,2020
,"Reno, Nevada, Estados Unidos",17651,11610,5535,6224,7385,349,2489,2990,6228,2020
,"Sídney, Australia",17628,9702,6610,7728,7908,1144,4271,2722,9707,2020
,"Sacramento, California, Estados Unidos",17497,11540,5021,6800,7700,372,2664,4344,9064,2020
,"Boston, Massachusetts, Estados Unidos",17491,11239,6437,7530,8288,781,4486,2661,7173,2020
,"Rotterdam, Países Bajos",17482,9172,6450,7681,6968,676,2836,3933,8789,2020
,"Nashville, Tennessee, Estados Unidos",17431,12267,5326,6426,7319,299,3814,3808,8302,2020
,"Hamburgo, Alemania",17415,10273,5602,7561,7124,977,3248,2946,8275,2020
,"Saint Louis, Missouri, Estados Unidos",17412,12633,3084,8095,7078,189,2695,4003,7475,2020
,"Fráncfort del Óder, Alemania",17400,10448,5978,7371,6978,1015,2511,3858,8472,2020
,"Tallin, Estonia",17394,7109,7774,7134,5253,934,2657,2317,6428,2020
,"Gotemburgo, Suecia",17374,8886,5480,6877,7118,1058,2420,1912,7749,2020
,"Cambridge, Reino Unido",17366,7811,7789,7379,7224,1296,2887,3283,9137,2020
,"Tucson, Arizona, Estados Unidos",17318,10520,5009,5975,7212,281,2950,2595,7266,2020
,"Cork, Irlanda",17294,8068,6805,5724,7686,588,3430,2320,8978,2020
,"Glasgow, Reino Unido",17245,9655,5652,8102,6585,765,3441,3548,8478,2020
,"Vancouver, Canadá",17169,8895,6371,7490,7391,1434,3710,2371,9115,2020
,"Denver, Colorado, Estados Unidos",17142,13033,5911,7010,7330,421,3675,4073,5628,2020
,"Stuttgart, Alemania",17071,10384,7354,7060,6771,1011,3554,4231,8107,2020
,"Atlanta, Georgia, Estados Unidos",17058,14047,3780,6586,7389,287,4236,4398,8973,2020
,"Edmonton, Canadá",16963,10808,5796,7828,6955,392,2931,2860,3211,2020
,"Leeds, Reino Unido",16951,10224,5703,8220,6483,646,3261,4760,8459,2020
,"Washington D. C., Estados Unidos",16866,13025,4372,7023,8774,442,4197,3962,8162,2020
,"Mascate, Omán",16847,8270,7781,5877,5107,862,2104,3777,6722,2020
,"Anchorage, Alaska, Estados Unidos",16796,11844,3888,6062,9136,253,2764,1723,4161,2020
,"Orlando Florida, Estados Unidos",16792,10208,4784,6352,6570,320,3706,3453,8723,2020
,"Liubliana, Eslovenia",16788,6388,7876,6578,5479,1332,2803,2388,7611,2020
,"Oakland, California, Estados Unidos",16776,11360,3533,7875,8651,639,3796,3744,9640,2020
,"Ámsterdam, Países Bajos",16769,8442,6690,6890,7893,1206,3007,3188,8745,2020
,"Salt Lake City, Utah, Estados Unidos",16738,12935,6918,7014,6476,406,3393,6250,6652,2020
,"Abu Dabi, Emiratos Árabes Unidos",16725,9334,8867,7047,6275,603,2639,4761,4389,2020
,"Brístol, Reino Unido",16711,9103,6310,7354,7317,881,2854,4405,8851,2020
,"San Francisco, California, Estados Unidos",16686,13590,4721,6688,9151,778,4972,4273,9726,2020
,"Mangalore, India",16608,5891,7586,8014,2349,744,3214,3575,6665,2020
,"Auckland, Nueva Zelanda",16538,8393,5454,7343,7606,1209,3796,2919,9989,2020
,"Houston, Texas, Estados Unidos",16528,14131,3665,7111,6513,212,4142,5577,8553,2020
,"Vilna, Lituania",16502,6296,7235,6944,4446,1210,2781,2379,6659,2020
,"Tokio, Japón",16453,8970,7736,8112,8687,1397,3979,4252,8526,2020
,"Halifax, Canadá",16412,8005,5868,7051,7233,761,3015,2280,5899,2020
,"Indianápolis, Indiana, Estados Unidos",16346,11002,4310,6988,6634,230,2940,4458,6992,2020
,"Baltimore, Maryland, Estados Unidos",16337,12524,2677,7644,7429,242,3178,4805,8124,2020
,"Colonia, Alemania",16306,9784,5861,7356,6513,1046,3693,4148,8485,2020
,"Berlín, Alemania",16290,9866,5899,6929,6476,1084,3393,4091,8335,2020
,"Estocolmo, Suecia",16252,9218,5560,6754,7609,1418,3756,1774,6967,2020
,"Bursa, Turquía",16232,4465,7412,7749,3530,540,3368,4342,9339,2020
,"Montreal, Canadá",16211,9664,7112,6405,6737,698,3976,3236,5237,2020
,"Brno, República Checa",16084,6552,7367,7447,4601,1168,2579,4330,7817,2020
,"Oslo, Noruega",16074,8647,6336,7485,10166,1165,3251,2608,5999,2020
,"Doha, Catar",16043,10764,8852,7324,6396,594,2986,6138,3603,2020
,"Kaunas, Lituania",16036,5701,6238,7303,4460,1044,2441,2808,6894,2020
,"Honolulu, Hawaii, Estados Unidos",15986,8829,5655,7071,8970,932,4145,3716,9533,2020
,"Las Vegas, Nevada, Estados Unidos",15886,12788,4491,5596,6746,275,2681,5004,5740,2020
,"Zagreb, Croacia",15851,5746,7765,6308,5013,1267,3321,3245,8219,2020
,"Praga, República Checa",15746,6641,7550,7346,4903,1765,3250,3648,8067,2020
,"Lyon, Francia",15722,8325,5746,7700,7349,967,3390,4670,8851,2020
,"Miami, Florida, Estados Unidos",15718,10026,4751,6437,7416,479,4329,4071,8569,2020
,"Amberes, Bélgica",15682,8870,6536,8003,7098,581,3680,6077,8542,2020
,"Dubai, Emiratos Árabes Unidos",15674,9269,8295,6648,6681,495,3932,5081,5027,2020
,"Phoenix, Arizona, Estados Unidos",15566,12726,4812,6653,6741,285,3217,5724,5376,2020
,"Hamilton, Canadá",15559,10316,5119,8192,6424,630,3456,5158,6106,2020
,"Oporto, Portugal",15438,4561,6313,7510,4977,1315,2900,3757,9661,2020
,"Limasol, Chipre",15324,6276,6940,4789,6198,863,1919,4982,9574,2020
,"Madrid, España",15258,7365,6976,7927,5825,1298,3529,5325,8547,2020
,"Chicago, Illinois, Estados Unidos",15244,11352,3656,6827,8018,370,4177,4198,6611,2020
,"Cluj-Napoca, Rumania",15238,5379,8031,6463,3644,1287,2905,4333,7435,2020
,"Birmingham, Reino Unido",15190,8659,4299,7336,6742,778,3295,4771,8766,2020
,"Gdansk, Polonia",15155,6265,7203,5778,4140,1205,2961,4023,7551,2020
,"Lisboa, Portugal",15028,4627,7238,7140,5187,1836,3637,3617,9859,2020
,"Bratislava, Eslovaquia",15003,6385,6978,5857,4827,1287,3104,4127,8072,2020
,"Tel Aviv-Yafo, Israel",14984,7431,7455,7357,8636,1965,3685,4677,9388,2020
,"Filadelfia, Pensilvania, Estados Unidos",14958,10023,3974,7047,7884,368,4000,4950,7798,2020
,"Timisoara, Rumania",14944,5577,7604,6909,3555,991,2473,6007,8205,2020
,"Jeddah (Jiddah), Arabia Saudita",14844,9505,6964,5713,4999,274,2965,7013,6617,2020
,"Mánchester, Reino Unido",14728,8820,4674,7816,6825,875,4072,5352,8695,2020
,"Bruselas, Bélgica",14645,9414,5004,7429,7233,630,3643,6321,8385,2020
,"Winnipeg, Canadá",14616,10067,4324,6916,6369,474,3197,3678,2467,2020
,"Riga, Letonia",14514,5364,6173,6117,4929,925,3387,3815,7470,2020
,"Poznan, Polonia",14488,5955,7580,6091,4028,1083,3104,5494,7741,2020
,"Riad, Arabia Saudita",14485,9001,7314,6365,4818,359,3013,6678,4445,2020
,"Toronto, Canadá",14447,7760,6163,7560,7849,1391,4469,3795,6535,2020
,"Regina, Canadá",14446,9508,4451,6815,6819,497,1717,4121,1428,2020
,"Singapur, Singapur",14439,8896,6943,7084,8110,2231,4131,3348,5745,2020
,"Los Angeles, California, Estados Unidos",14424,11378,5493,6485,7655,722,5945,6286,9550,2020
,"Nizhni Nóvgorod, Rusia",14382,3707,7043,7799,3910,1154,2890,3403,4551,2020
,"Sarja, Emiratos Árabes Unidos",14377,8408,8335,5816,5281,493,5176,4974,4335,2020
,"Taipéi, Taiwán",14304,6710,8580,8658,6430,3310,3356,4971,8438,2020
,"Ciudad del Cabo, Sudáfrica",14259,6848,2695,7052,4474,781,4359,3770,9819,2020
,"Esmirna, Turquía",14231,4105,7294,7198,3331,865,3847,6068,9688,2020
,"Nueva York, Nueva York, Estados Unidos",14193,10000,5556,6505,10000,1076,4301,5425,7966,2020
,"Bolonia, Italia",14132,6044,5572,7703,7003,1049,3252,5573,8812,2020
,"Barcelona, España",14112,6772,5575,7749,5873,1281,3052,6422,9573,2020
,"Nicosia, Chipre",14077,5550,7011,5224,6273,697,2615,5959,8601,2020
,"Dublín, Irlanda",14068,7658,5080,5111,7917,947,4026,4036,8589,2020
,"Varna, Bulgaria",14033,4717,6898,6302,3676,831,2742,6136,8508,2020
,"Breslavia, Polonia",13910,6051,7286,6133,4120,1081,3333,6091,7839,2020
,"Minsk, Bielorrusia",13742,3784,7572,6169,3620,1497,3089,4151,6437,2020
,"Durban, Sudáfrica",13728,7257,1928,5808,4004,356,2648,5353,9561,2020
,"Varsovia, Polonia",13691,6300,7451,6120,4409,1373,3520,5874,7461,2020
,"Novi Sad, Serbia",13665,4127,5937,4758,3552,1504,1636,4472,8402,2020
,"Islamabad, Pakistán",13576,3028,7137,6388,2295,1341,3566,4455,7691,2020
,"Curitiba, Brasil",13561,3289,3625,6600,4002,1466,3029,3220,9960,2020
,"Pretoria, Sudáfrica",13342,8294,1837,6730,4695,228,4550,5712,9583,2020
,"Ankara, Turquía",13165,4422,5957,6804,3507,635,3663,6804,9149,2020
,"Iasi, Rumania",13139,4835,7269,5758,3608,1025,3379,6138,7304,2020
,"San Juan, Puerto Rico",13073,7999,3046,6097,7011,462,3871,5047,7125,2020
,"Seúl, Corea del Sur",13023,7681,7244,8154,8550,2401,4165,5813,6839,2020
,"Cracovia (Cracovia), Polonia",13022,6085,7363,6152,4128,1297,3132,7111,7386,2020
,"Turín, Italia",12984,6734,4802,6931,6670,956,2946,6963,8566,2020
,"Campinas, Brasil",12975,4134,3252,6059,4106,1080,2852,4660,9887,2020
,"Detroit, Michigan, Estados Unidos",12613,7858,2738,6402,6385,170,4645,5294,6603,2020
,"Salónica, Grecia",12531,4048,6159,5625,5626,1145,2711,6451,8839,2020
,"Monterrey, México",12526,5633,4828,6363,3874,594,3128,7230,8037,2020
,"Pune, India",12453,6372,6199,6718,2763,1073,4406,7212,7432,2020
,"Sofía, Bulgaria",12437,5580,5782,5622,3996,919,3137,6871,7601,2020
,"Chiang Mai, Tailandia",12409,3390,7776,8445,4664,1768,2740,7709,7593,2020
,"Johannesburgo, Sudáfrica",12381,7271,1931,6109,4560,354,4075,6202,9138,2020
,"Montevideo, Uruguay",12359,4038,4308,6642,5163,1525,4011,4933,9804,2020
,"Atenas, Grecia",12298,4551,5137,5563,5721,1159,3790,5795,9518,2020
,"Coimbatore, India",12261,4516,6349,7047,2422,1261,4976,6225,7810,2020
,"Budapest, Hungría",12180,5211,6366,4690,4340,1595,3874,5418,7841,2020
,"Hyderabad, India",12031,5790,5855,6820,2532,860,4370,7641,7354,2020
,"Milán, Italia",11996,5750,5744,7080,7677,1876,3678,6694,8812,2020
,"Quito, Ecuador",11955,3903,4472,6977,4385,1108,4064,6531,9897,2020
,"Londres, Reino Unido",11954,7816,4752,6852,8130,2121,4527,6051,8825,2020
,"Lviv, Ucrania",11928,3225,5753,5865,3260,1312,3383,5363,6961,2020
,"Bucarest, Rumania",11856,5276,7260,5434,3923,1090,4208,7488,7561,2020
,"Ereván, Armenia",11826,2830,7801,5287,3304,1773,3111,5665,6342,2020
,"Guadalajara, México",11743,4430,3766,7753,3615,972,4155,7045,9283,2020
,"Medellín, Colombia",11713,2990,4866,7728,3019,1790,3829,6489,9976,2020
,"París, Francia",11689,7117,4824,7714,8516,2202,4258,6629,8839,2020
,"Ahmedabad, India",11509,3852,6824,7190,2558,965,3831,7239,4927,2020
,"Bangalore, India",11489,6814,5132,6679,2722,973,5330,8315,8939,2020
,"Gurgaon, India",11461,9158,4332,6748,3028,704,3883,9172,5987,2020
,"Roma, Italia",11378,5891,4812,5920,7038,1595,4295,6644,9370,2020
,"Tiflis, Georgia",11268,2669,7951,5216,2827,1469,3836,7499,8420,2020
,"Santiago de Chile, Chile",11237,4304,4906,6638,4517,1569,3704,7091,9021,2020
,"Estambul, Turquía",11210,3823,5252,6815,3801,1128,5222,6979,9302,2020
,"San José, Costa Rica",11198,3908,4373,6315,5848,944,6558,5380,9948,2020
,"Amán, Jordania",11122,3273,6142,6499,5670,937,4392,7689,8905,2020
,"Sarajevo, Bosnia y Herzegovina",11107,4248,5108,5292,3863,1381,2868,7001,7818,2020
,"Buenos Aires, Argentina",11051,4667,3869,6904,3458,2609,4746,5190,9828,2020
,"Porto Alegre, Brasil",11036,3427,2346,6220,3949,1521,3226,5638,9874,2020
,"Belgrado, Serbia",10927,3596,6262,5294,3905,2200,3568,6285,8414,2020
,"Járkov, Ucrania",10844,3145,5234,4601,3333,1121,3816,5532,6535,2020
,"Panamá, Panamá",10825,3525,5285,5783,5720,1197,3498,6426,6784,2020
,"Ciudad de Guatemala, Guatemala",10771,4018,3739,6363,4426,989,5011,6966,9989,2020
,"Ciudad de Kuwait, Kuwait",10763,7368,6744,5575,5212,1456,3294,7253,2022,2020
,"San Petersburgo, Rusia",10708,4539,6064,5913,4171,1538,4791,6263,6064,2020
,"Kuala Lumpur, Malasia",10703,6727,3442,6504,4247,1116,4223,6815,5655,2020
,"Kiev (Kiev), Ucrania",10690,4015,5283,5516,3616,1188,4304,6591,6995,2020
,"Chennai, India",10657,5306,5985,7162,2532,1437,4745,7553,5322,2020
,"Odesa (Odesa), Ucrania",10648,3233,4711,5178,3509,1216,3567,6532,7900,2020
,"Lahore, Pakistán",10645,2844,6257,6454,2342,1142,3544,7960,6756,2020
,"Skopje, Macedonia del Norte",10421,3840,5527,5617,3454,1337,2860,8336,7630,2020
,"Moscú, Rusia",10248,5228,5946,6108,4765,2023,5263,5984,5583,2020
,"Bakú, Azerbaiyán",10126,2984,6985,4302,3131,1662,4027,8009,9140,2020
,"Beirut, Líbano",10032,4099,5583,6653,6283,1467,3833,9311,9474,2020
,"Hong Kong, Hong Kong, China)",9905,6532,7930,6608,7722,4746,4146,6769,8364,2020
,"Dnipró, Ucrania",9786,3553,4859,5094,3270,1015,3172,8238,6952,2020
,"Noida, India",9759,6687,3958,6530,2763,680,4638,9292,5890,2020
,"Belo Horizonte, Brasil",9595,2354,3446,6122,3807,2628,4430,5366,9850,2020
,"Hanói, Vietnam",9159,2899,6175,5410,3988,1924,2959,9127,7904,2020
,"Calcuta, India",9084,4538,5278,5805,2437,1214,6011,7888,6090,2020
,"Ciudad de México, México",8941,4291,3155,6464,3855,1507,5109,8357,9237,2020
,"Bogotá, Colombia",8911,2887,3837,6495,3316,2488,5132,6919,9712,2020
,"Ekaterimburgo, Rusia",8747,4540,5289,5064,3846,1100,3803,7596,2133,2020
,"Bangkok, Tailandia",8738,3404,5883,7747,5715,2723,4438,7644,5839,2020
,"Almaty, Kazajistán",8660,3738,3241,4973,3173,1209,3303,7815,5830,2020
,"Novosibirsk, Rusia",8611,3740,5314,5426,3709,1182,4108,6966,1614,2020
,"Karachi, Pakistán",8394,2927,4480,5844,2307,1428,4162,8988,7132,2020
,"Katmandú, Nepal",8363,2107,6586,5543,3092,2477,3829,9565,9264,2020
,"Delhi, India",8288,5469,4181,6680,2818,1404,5702,9133,5890,2020
,"Shanghái, China",8255,5440,6369,6152,5007,4149,4814,7946,8364,2020
,"Colombo, Sri Lanka",8209,2263,6088,7154,3430,2938,6570,6010,5911,2020
,"Lima, Perú",8182,3170,3095,5735,4259,1575,4973,8544,9769,2020
,"El Cairo, Egipto",7948,2453,5043,4496,3094,1249,5110,9282,8845,2020
,"Sao Paulo, Brasil",7838,3197,2902,5653,4552,2068,5151,8032,9904,2020
,"Río de Janeiro, Brasil",7420,3301,2259,4259,4270,2062,5244,6845,8822,2020
,"Nairobi, Kenia",7329,2485,3992,5646,4208,2617,5694,8042,9979,2020
,"Ciudad Ho Chi Minh, Vietnam",7296,2664,4694,5988,3820,2463,3166,9298,6344,2020
,"Pekín, China",7250,6072,6550,6370,4489,4418,4515,8696,5764,2020
,"Yakarta, Indonesia",7138,2734,4663,5678,4448,1993,5259,8425,6376,2020
,"Bombay, India",6689,4168,5760,6724,2884,4308,5609,8294,7148,2020
,"Daca, Bangladés",6220,3345,3549,4061,3452,1421,5750,9378,7129,2020
,"Manila, Filipinas",5773,2514,3563,6260,3899,2417,5533,8979,6123,2020
,"Teherán, Irán",5473,1883,4649,5184,4167,3480,5309,8239,7099,2020
,"Lagos, Nigeria",5315,1328,3507,4935,3656,1543,6638,8612,6075,2020
,"Caracas, Venezuela",0,236,1510,3928,2768,15055,3469,7241,9993,2020
,"Adelaida, Australia",20319,10023,7137,8099,8040,451,2402,1811,9496,2021
,"Canberra, Australia",20185,9490,7817,8144,8460,559,2405,1389,8272,2021
,"Wellington, Nueva Zelanda",20001,9654,7154,7490,7847,607,2774,1366,9768,2021
,"Raleigh, Carolina del Norte, Estados Unidos",19923,12439,6555,7562,7118,318,3227,2261,8388,2021
,"Zúrich, Suiza",19651,11791,8360,7594,13549,801,3378,1731,8148,2021
,"La Haya (Den Haag), Países Bajos",19463,9265,7484,7802,7255,597,2932,2007,9061,2021
,"Madison, Wisconsin, Estados Unidos",19232,11323,6715,7889,6869,359,2359,1959,5164,2021
,"Columbus, Ohio, Estados Unidos",19112,12205,5657,7419,7313,245,2556,2532,7129,2021
,"Austin, Texas, Estados Unidos",18846,12963,6420,7069,6304,359,3412,3627,8208,2021
,"Brisbane, Australia",18771,9693,6476,8223,8471,595,4003,2188,9807,2021
,"Eindhoven, Países Bajos",18738,8529,7595,7304,8262,642,2535,2255,8538,2021
,"Victoria, Canadá",18737,8761,6468,6989,7264,727,2847,1505,9252,2021
,"Charlotte, Carolina del Norte, Estados Unidos",18665,12000,5581,7388,7266,301,3519,2844,8405,2021
,"Viena, Austria",18580,8736,7474,7894,7131,1312,2651,1776,8177,2021
,"Ginebra, Suiza",18404,10973,7274,7308,13175,945,2549,2644,8261,2021
,"Richmond, Virginia, Estados Unidos",18389,10627,5498,7386,6831,384,2196,3163,8127,2021
,"San Diego, California, Estados Unidos",18374,11272,6349,7015,8022,524,3380,3504,9708,2021
,"Perth, Australia",18340,9943,5779,7760,8464,633,3583,2325,9571,2021
,"Bergen, Noruega",18331,8650,7191,7577,10407,755,2377,2097,7883,2021
,"Copenhague, Dinamarca",18271,8496,7246,7768,9749,839,2861,2106,8374,2021
,"Luxemburgo, Luxemburgo",18268,10048,7245,7451,8965,1166,3324,2075,8262,2021
,"Buffalo, Nueva York, Estados Unidos",18127,9489,5501,7684,7295,201,2217,2502,6643,2021
,"Dallas, Texas, Estados Unidos",18073,14109,5029,6561,6480,235,3522,4192,8185,2021
,"Seattle, Washington, Estados Unidos",17984,12120,5089,7349,8948,523,4157,2863,9173,2021
,"Reikiavik, Islandia",17971,6981,7794,6668,9875,657,2004,1549,6881,2021
,"La ciudad de Quebec, Canadá",17925,9231,8524,7123,6737,456,2791,2929,4798,2021
,"Kansas City, Missouri, Estados Unidos",17885,11355,4059,7940,6886,228,2629,3203,7508,2021
,"Calgary, Canadá",17749,11316,6551,7643,7365,371,3010,2400,3309,2021
,"Sídney, Australia",17734,9630,6633,7792,8911,941,4329,2686,9707,2021
,"Helsinki, Finlandia",17714,8288,7473,7749,8143,1278,3097,1334,6279,2021
,"Edimburgo, Reino Unido",17709,7827,6943,8069,7596,876,2885,2765,8401,2021
,"Mascate, Omán",17655,9026,7893,5968,5231,501,2106,3680,6722,2021
,"Múnich, Alemania",17645,9073,8235,7815,8201,1627,3304,2493,7598,2021
,"Portland, Oregon, Estados Unidos",17574,10070,5124,7384,7868,434,3308,3120,8956,2021
,"San José, California, Estados Unidos",17570,13128,5347,7323,7855,675,3811,4654,9553,2021
,"Vancouver, Canadá",17557,9247,6355,7546,7622,1141,3723,2417,9115,2021
,"Melbourne, Australia",17515,10147,5551,7509,8243,881,4058,2599,9430,2021
,"Reno, Nevada, Estados Unidos",17486,11618,5440,6224,6738,361,2510,3236,6228,2021
,"Belfast, Reino Unido",17434,8420,6006,7174,6582,425,3788,2786,9084,2021
,"Ottawa, Canadá",17423,8741,7415,7497,7215,567,3119,2121,4446,2021
,"Düsseldorf, Alemania",17403,8978,6898,7233,7235,979,3031,3288,8637,2021
,"Liverpool, Reino Unido",17376,8219,5565,8571,6983,802,3276,3020,9087,2021
,"Tampa, Florida, Estados Unidos",17352,10410,5077,6864,7953,335,3584,2994,8467,2021
,"Fráncfort del Óder, Alemania",17319,10325,5812,7437,7563,986,2510,3778,8472,2021
,"Saint Louis, Missouri, Estados Unidos",17279,12026,2966,8138,6823,189,2716,3800,7475,2021
,"Glasgow, Reino Unido",17181,9238,5614,8060,6915,658,3379,3498,8478,2021
,"Cincinnati, Ohio, Estados Unidos",17167,11112,5163,6877,6364,249,2489,4382,7324,2021
,"Nashville, Tennessee, Estados Unidos",17085,11253,5222,6395,7215,306,3888,3571,8302,2021
,"Utrecht, Países Bajos",17082,7455,7224,7400,8426,899,3182,3067,8716,2021
,"Indianápolis, Indiana, Estados Unidos",17068,12019,4244,7301,6562,218,2907,4178,6992,2021
,"Valencia, España",17008,6924,7434,8115,5541,760,2960,4588,9384,2021
,"Abu Dabi, Emiratos Árabes Unidos",16928,9113,8846,7131,5976,507,2633,4552,4389,2021
,"Jacksonville, Florida, Estados Unidos",16914,11090,4196,6948,6947,298,3523,3858,8781,2021
,"Gotemburgo, Suecia",16907,8465,5357,6857,8102,984,2602,2082,7749,2021
,"Cambridge, Reino Unido",16890,7391,7220,7379,7548,1095,3356,3218,9137,2021
,"San Antonio, Texas, Estados Unidos",16884,10438,5132,7206,6461,257,3050,4496,8058,2021
,"Tallin, Estonia",16865,6015,7750,7128,5920,974,2677,2258,6428,2021
,"Tucson, Arizona, Estados Unidos",16862,9490,4948,5905,6718,315,2924,2615,7266,2021
,"Mineápolis, Estados Unidos",16860,11191,4775,7845,8247,370,3656,2652,4946,2021
